Year,Month,wellAPI,boreID,compSubId,BHP,Qo,Qw,Qg,Qs,CompL,FlowDays,Pressure,Status
2014,4,2ECFC83766,00,00,0,10.390761,86.373199,14.584956,0,109.90814,30,0,1
2014,5,2ECFC83766,00,00,0,10.014995,79.494022,14.057514,0,109.90814,31,0,1
2014,6,2ECFC83766,00,00,0,10.394954,83.809313,0,0,109.90814,30,0,1
2014,7,2ECFC83766,00,00,0,9.88717,74.771725,0,0,109.90814,29.999971,0,1
2014,8,2ECFC83766,00,00,0,9.57268,74.786563,0,0,109.90814,29.999971,0,1
2014,9,2ECFC83766,00,00,0,9.862417,80.748537,13.843348,0,109.90814,30,0,1
2014,10,2ECFC83766,00,00,0,9.903402,78.608255,0,0,109.90814,31,0,1
2014,11,2ECFC83766,00,00,0,6.30029,43.529273,0,0,109.90814,30,0,1
2014,12,2ECFC83766,00,00,0,4.232431,42.324311,0,0,109.90814,31,0,1
2015,1,2ECFC83766,00,00,0,4.62808,91.90045,0,0,109.90814,31,0,1
2015,2,2ECFC83766,00,00,0,4.715108,94.302171,0,0,109.90814,28,0,1
2015,3,2ECFC83766,00,00,0,4.761992,95.239846,0,0,109.90814,29.999971,0,1
2015,4,2ECFC83766,00,00,0,4.838958,96.779159,0,0,109.90814,30,0,1
2015,5,2ECFC83766,00,00,0,5.044019,103.042102,0,0,109.90814,31,0,1
2015,6,2ECFC83766,00,00,0,5.006686,97.988,0,0,109.90814,30,0,1
2015,7,2ECFC83766,00,00,0,4.857354,97.147077,0,0,109.90814,31,0,1
2015,8,2ECFC83766,00,00,0,4.715326,89.591193,0,0,109.90814,31,0,1
2015,9,2ECFC83766,00,00,0,4.956368,97.711248,0,0,109.90814,30,0,1
2015,10,2ECFC83766,00,00,0,5.561407,58.085801,0,0,109.90814,31,0,1
2015,11,2ECFC83766,00,00,0,5.555996,59.88129,0,0,109.90814,30,0,1
2015,12,2ECFC83766,00,00,0,5.567493,60.005205,0,0,109.90814,31,0,1
2016,1,2ECFC83766,00,00,0,5.344307,63.040093,0,0,109.90814,31,0,1
2016,2,2ECFC83766,00,00,0,5.309898,64.082285,0,0,109.90814,29,0,1
2016,3,2ECFC83766,00,00,0,5.298655,64.60849,0,0,109.90814,31,0,1
2016,4,2ECFC83766,00,00,0,2.046074,87.300419,0,0,109.90814,30,0,1
2016,5,2ECFC83766,00,00,0,1.991637,87.947727,0,0,109.90814,31,0,1
2016,6,2ECFC83766,00,00,0,2.043139,87.627489,0,0,109.90814,30,0,1
2016,7,2ECFC83766,00,00,0,1.95126,88.375638,0,0,109.90814,29.999971,0,1
2016,8,2ECFC83766,00,00,0,1.905609,86.37061,0,0,109.90814,31,0,1
2016,9,2ECFC83766,00,00,0,1.954872,59.526101,0,0,109.90814,30,0,1
2016,10,2ECFC83766,00,00,0,1.769667,18.839594,0,0,109.90814,29.999971,0,1
2016,11,2ECFC83766,00,00,0,1.822367,19.158331,0,0,109.90814,30,0,1
2016,12,2ECFC83766,00,00,0,1.140687,11.652374,0,0,109.90814,18.999993,0,1
2005,1,2ECFC83770,00,00,0,3.558813,241.999297,0,0,103.34646,29.999971,0,1
2005,2,2ECFC83770,00,00,0,1.307381,98.707282,0,0,103.34646,11.999988,0,1
2005,3,2ECFC83770,00,00,0,4.193881,201.306272,0,0,103.34646,26.999977,0,1
2005,4,2ECFC83770,00,00,0,7.004748,227.335915,0,0,103.34646,27,0,1
2005,5,2ECFC83770,00,00,0,3.877361,169.957675,0,0,103.34646,21.999987,0,1
2005,6,2ECFC83770,00,00,0,6.495273,215.524986,0,0,103.34646,28.99998,0,1
2005,7,2ECFC83770,00,00,0,6.545457,225.520742,0,0,103.34646,29.999971,0,1
2005,8,2ECFC83770,00,00,0,4.508371,244.096095,0,0,103.34646,29.999971,0,1
2005,9,2ECFC83770,00,00,0,2.090312,183.947488,0,0,103.34646,18,0,1
2005,12,2ECFC83770,00,00,0,1.324917,92.081753,0,0,103.34646,10.999978,0,1
2006,1,2ECFC83770,00,00,0,2.424619,141.112828,0,0,103.34646,21.999987,0,1
2006,2,2ECFC83770,00,00,0,3.113454,164.390381,0,0,103.34646,17.999996,0,1
2006,3,2ECFC83770,00,00,0,11.137016,250.58285,0,0,103.34646,31,0,1
2006,4,2ECFC83770,00,00,0,5.147158,147.98081,0,0,103.34646,16.99998,0,1
2006,5,2ECFC83770,00,00,0,5.646623,161.869866,0,0,103.34646,20.999989,0,1
2006,6,2ECFC83770,00,00,0,2.071443,136.024757,0,0,103.34646,16.99998,0,1
2006,7,2ECFC83770,00,00,0,1.886942,204.418718,0,0,103.34646,31,0,1
2006,8,2ECFC83770,00,00,0,1.089557,220.090478,0,0,103.34646,18.999993,0,1
2005,1,2ECFC837AC,00,00,14.7,33.303512,363.871704,13.850773,0,60.69554,29.999971,0,1
2005,2,2ECFC837AC,00,00,14.7,27.246094,378.910806,14.230283,0,60.69554,28,0,1
2005,3,2ECFC837AC,00,00,14.7,22.959823,385.973243,13.936206,0,60.69554,31,0,1
2005,4,2ECFC837AC,00,00,14.7,22.551054,405.91897,0,0,60.69554,28.99998,0,1
2005,5,2ECFC837AC,00,00,14.7,21.152011,354.607253,0,0,60.69554,29.999971,0,1
2005,6,2ECFC837AC,00,00,14.7,30.761348,344.024866,0,0,60.69554,27.99999,0,1
2005,7,2ECFC837AC,00,00,0,29.30847,363.549734,14.004675,0,60.69554,29.999971,0,1
2005,8,2ECFC837AC,00,00,14.7,25.335746,395.484836,13.878023,0,60.69554,29.999971,0,1
2005,9,2ECFC837AC,00,00,14.7,25.159227,383.049231,14.125865,0,60.69554,30,0,1
2005,10,2ECFC837AC,00,00,0,17.118419,433.886077,0,0,60.69554,29.999971,0,1
2005,11,2ECFC837AC,00,00,0,17.408088,412.991874,0,0,60.69554,28.99998,0,1
2005,12,2ECFC837AC,00,00,0,21.933165,421.116758,14.073789,0,60.69554,31,0,1
2006,1,2ECFC837AC,00,00,0,22.095482,440.015751,0,0,60.69554,31,0,1
2006,2,2ECFC837AC,00,00,0,10.656729,216.895789,0,0,60.69554,14,0,1
2006,3,2ECFC837AC,00,00,0,24.307059,598.721239,0,0,60.69554,29.999971,0,1
2006,4,2ECFC837AC,00,00,0,26.861667,664.506478,14.363539,0,60.69554,28.99998,0,1
2006,5,2ECFC837AC,00,00,0,29.318615,627.543111,14.009522,0,60.69554,29.999971,0,1
2006,6,2ECFC837AC,00,00,14.7,35.713523,573.329582,14.322619,0,60.69554,30,0,1
2006,7,2ECFC837AC,00,00,14.7,35.377119,525.511018,14.445665,0,60.69554,31,0,1
2006,8,2ECFC837AC,00,00,14.7,33.642349,510.242298,13.991694,0,60.69554,31,0,1
2006,9,2ECFC837AC,00,00,0,30.132366,520.411092,14.098398,0,60.69554,28.99998,0,1
2006,10,2ECFC837AC,00,00,14.7,29.004124,525.159778,13.859248,0,60.69554,29.999971,0,1
2006,11,2ECFC837AC,00,00,14.7,28.333482,540.225065,14.140514,0,60.69554,28.99998,0,1
2006,12,2ECFC837AC,00,00,14.7,28.38123,546.811705,14.164344,0,60.69554,29.999971,0,1
2007,1,2ECFC837AC,00,00,14.7,29.890783,465.175332,13.985365,0,60.69554,31,0,1
2007,2,2ECFC837AC,00,00,14.7,29.425063,446.38446,14.060388,0,60.69554,28,0,1
2007,3,2ECFC837AC,00,00,14.7,26.500376,478.89965,14.170347,0,60.69554,31,0,1
2007,4,2ECFC837AC,00,00,14.7,22.590889,514.570231,14.093166,0,60.69554,30,0,1
2007,5,2ECFC837AC,00,00,14.7,23.016634,480.238974,0,0,60.69554,31,0,1
2007,6,2ECFC837AC,00,00,0,22.045772,505.163118,0,0,60.69554,28.99998,0,1
2007,7,2ECFC837AC,00,00,14.7,21.354908,474.204582,0,0,60.69554,29.999971,0,1
2007,8,2ECFC837AC,00,00,0,22.058961,470.170993,0,0,60.69554,31,0,1
2007,9,2ECFC837AC,00,00,0,23.563713,505.027669,0,0,60.69554,30,0,1
2007,10,2ECFC837AC,00,00,14.7,24.002714,496.477185,14.185822,0,60.69554,31,0,1
2007,11,2ECFC837AC,00,00,14.7,23.375018,437.176013,0,0,60.69554,30,0,1
2007,12,2ECFC837AC,00,00,0,17.002768,272.698234,0,0,60.69554,21.999987,0,1
2008,1,2ECFC837AC,00,00,14.7,23.065329,410.81222,0,0,60.69554,29.999971,0,1
2008,2,2ECFC837AC,00,00,14.7,23.393743,421.087377,0,0,60.69554,29,0,1
2008,3,2ECFC837AC,00,00,14.7,23.116054,408.591872,14.031035,0,60.69554,31,0,1
2008,4,2ECFC837AC,00,00,0,22.521701,434.990576,0,0,60.69554,30,0,1
2008,5,2ECFC837AC,00,00,14.7,20.555494,462.810059,0,0,60.69554,31,0,1
2008,6,2ECFC837AC,00,00,0,17.837892,492.694873,0,0,60.69554,30,0,1
2008,7,2ECFC837AC,00,00,14.7,20.624478,506.237202,0,0,60.69554,31,0,1
2008,8,2ECFC837AC,00,00,14.7,21.265633,539.146343,0,0,60.69554,31,0,1
2008,9,2ECFC837AC,00,00,14.7,21.928363,526.907227,14.070707,0,60.69554,30,0,1
2008,10,2ECFC837AC,00,00,14.7,21.545631,522.01987,13.82512,0,60.69554,31,0,1
2008,11,2ECFC837AC,00,00,14.7,21.314059,542.881592,14.078779,0,60.69554,30,0,1
2008,12,2ECFC837AC,00,00,14.7,22.564174,528.377749,14.076501,0,60.69554,31,0,1
2009,1,2ECFC837AC,00,00,14.7,21.852005,521.95077,14.021711,0,60.69554,31,0,1
2009,2,2ECFC837AC,00,00,0,20.920346,529.348153,14.237465,0,60.69554,28,0,1
2009,3,2ECFC837AC,00,00,14.7,20.573754,533.670717,14.001591,0,60.69554,31,0,1
2009,4,2ECFC837AC,00,00,14.7,20.808777,570.034367,14.161537,0,60.69554,30,0,1
2009,5,2ECFC837AC,00,00,14.7,21.444183,613.682042,14.164731,0,60.69554,31,0,1
2009,6,2ECFC837AC,00,00,14.7,21.515332,607.347095,0,0,60.69554,30,0,1
2009,7,2ECFC837AC,00,00,14.7,22.014323,573.001378,0,0,60.69554,31,0,1
2009,8,2ECFC837AC,00,00,14.7,21.405633,577.952062,14.139267,0,60.69554,29.999971,0,1
2009,9,2ECFC837AC,00,00,14.7,22.326717,704.886361,14.326317,0,60.69554,30,0,1
2009,10,2ECFC837AC,00,00,14.7,22.68997,683.850499,14.154977,0,60.69554,31,0,1
2009,11,2ECFC837AC,00,00,14.7,20.397843,673.746916,13.881873,0,60.69554,30,0,1
2009,12,2ECFC837AC,00,00,14.7,21.273749,665.743211,14.052154,0,60.69554,29.999971,0,1
2010,1,2ECFC837AC,00,00,14.7,16.09176,640.575849,13.899781,0,60.69554,29.999971,0,1
2010,2,2ECFC837AC,00,00,14.7,17.546314,594.154497,13.588317,0,60.69554,26.99998,0,1
2010,3,2ECFC837AC,00,00,14.7,19.250865,653.88775,14.41142,0,60.69554,31,0,1
2010,4,2ECFC837AC,00,00,14.7,21.188262,631.908757,13.995686,0,60.69554,30,0,1
2010,5,2ECFC837AC,00,00,0,29.411947,613.270405,14.05412,0,60.69554,31,0,1
2010,6,2ECFC837AC,00,00,14.7,31.602085,602.335726,14.194611,0,60.69554,28.99998,0,1
2010,7,2ECFC837AC,00,00,14.7,33.013369,563.095955,13.989163,0,60.69554,29.999971,0,1
2010,8,2ECFC837AC,00,00,14.7,33.737711,590.409944,14.031355,0,60.69554,31,0,1
2010,9,2ECFC837AC,00,00,0,33.814,547.285856,14.063083,0,60.69554,28.99998,0,1
2010,10,2ECFC837AC,00,00,14.7,32.155114,576.862754,14.443014,0,60.69554,31,0,1
2010,11,2ECFC837AC,00,00,14.7,32.621033,548.402669,13.822914,0,60.69554,30,0,1
2010,12,2ECFC837AC,00,00,14.7,32.004971,545.364707,14.375574,0,60.69554,31,0,1
2011,1,2ECFC837AC,00,00,0,31.990768,536.165275,14.369195,0,60.69554,31,0,1
2011,2,2ECFC837AC,00,00,14.7,30.467373,538.891671,14.255142,0,60.69554,28,0,1
2011,3,2ECFC837AC,00,00,14.7,32.199751,546.75178,14.463063,0,60.69554,31,0,1
2011,4,2ECFC837AC,00,00,14.7,29.339851,513.75953,14.019671,0,60.69554,27.99999,0,1
2011,5,2ECFC837AC,00,00,14.7,29.292238,533.492668,13.99692,0,60.69554,31,0,1
2011,6,2ECFC837AC,00,00,14.7,28.564109,512.912044,13.945709,0,60.69554,30,0,1
2011,7,2ECFC837AC,00,00,14.7,26.932546,552.117188,14.401439,0,60.69554,31,0,1
2011,8,2ECFC837AC,00,00,14.7,28.375144,540.388837,14.161306,0,60.69554,31,0,1
2011,9,2ECFC837AC,00,00,0,26.580722,524.019971,14.213311,0,60.69554,30,0,1
2011,10,2ECFC837AC,00,00,14.7,27.928771,520.490723,14.255318,0,60.69554,31,0,1
2011,11,2ECFC837AC,00,00,14.7,26.354291,510.77124,14.092232,0,60.69554,28.99998,0,1
2011,12,2ECFC837AC,00,00,14.7,26.238638,492.286842,14.030391,0,60.69554,31,0,1
2012,1,2ECFC837AC,00,00,14.7,25.240385,495.573408,13.825788,0,60.69554,31,0,1
2012,2,2ECFC837AC,00,00,0,23.406756,485.848355,14.207487,0,60.69554,27.999993,0,1
2012,3,2ECFC837AC,00,00,0,16.736973,363.063563,14.457104,0,60.69554,20.999989,0,1
2012,4,2ECFC837AC,00,00,0,4.725741,111.392475,0,0,60.69554,6,0,1
2012,5,2ECFC837AC,00,00,14.7,24.294885,577.323195,14.358498,0,60.69554,31,0,1
2012,6,2ECFC837AC,00,00,14.7,23.567906,577.09519,14.305302,0,60.69554,30,0,1
2012,7,2ECFC837AC,00,00,14.7,20.42361,539.678443,13.899409,0,60.69554,29.999971,0,1
2012,8,2ECFC837AC,00,00,14.7,21.166214,554.679317,13.981121,0,60.69554,31,0,1
2012,9,2ECFC837AC,00,00,14.7,23.056335,528.42627,13.994788,0,60.69554,30,0,1
2012,10,2ECFC837AC,00,00,14.7,22.643304,517.651084,14.125865,0,60.69554,31,0,1
2012,11,2ECFC837AC,00,00,14.7,21.15262,923.871761,13.972143,0,60.69554,27.99999,0,1
2012,12,2ECFC837AC,00,00,0,21.405633,823.48725,14.139267,0,60.69554,29.999971,0,1
2013,1,2ECFC837AC,00,00,14.7,19.394923,638.739478,14.519262,0,60.69554,29.999971,0,1
2013,2,2ECFC837AC,00,00,14.7,19.660138,623.416643,14.243038,0,60.69554,28,0,1
2013,3,2ECFC837AC,00,00,14.7,19.983324,618.858587,14.024763,0,60.69554,31,0,1
2013,4,2ECFC837AC,00,00,14.7,22.268012,517.89034,14.288648,0,60.69554,28.99998,0,1
2013,5,2ECFC837AC,00,00,14.7,21.050562,474.59449,14.326085,0,60.69554,28.999973,0,1
2013,6,2ECFC837AC,00,00,14.7,12.965388,524.449951,0,0,60.69554,27,0,1
2013,7,2ECFC837AC,00,00,14.7,11.120784,397.876933,0,0,60.69554,26.999977,0,1
2013,8,2ECFC837AC,00,00,14.7,13.030044,476.899627,0,0,60.69554,31,0,1
2013,9,2ECFC837AC,00,00,0,12.917166,496.019189,14.504909,0,60.69554,30,0,1
2013,10,2ECFC837AC,00,00,14.7,12.202225,468.565422,0,0,60.69554,31,0,1
2013,11,2ECFC837AC,00,00,14.7,12.533488,483.792635,14.07407,0,60.69554,28.99998,0,1
2013,12,2ECFC837AC,00,00,14.7,12.808887,478.411928,14.38332,0,60.69554,31,0,1
2014,1,2ECFC837AC,00,00,14.7,8.566311,459.286046,0,0,60.69554,27.999975,0,1
2014,2,2ECFC837AC,00,00,0,6.916541,404.04126,0,0,60.69554,23.999976,0,1
2014,3,2ECFC837AC,00,00,0,6.819368,332.444171,0,0,60.69554,21.999987,0,1
2014,4,2ECFC837AC,00,00,0,18.919739,529.122013,14.163534,0,60.69554,30,0,1
2014,5,2ECFC837AC,00,00,14.7,20.630566,492.632915,14.040254,0,60.69554,31,0,1
2014,6,2ECFC837AC,00,00,14.7,23.706281,487.226457,14.010627,0,60.69554,30,0,1
2014,7,2ECFC837AC,00,00,14.7,23.272285,477.396327,14.125865,0,60.69554,31,0,1
2014,8,2ECFC837AC,00,00,0,27.748192,531.087497,14.492523,0,60.69554,31,0,1
2014,9,2ECFC837AC,00,00,14.7,20.817164,532.414714,14.167243,0,60.69554,30,0,1
2014,10,2ECFC837AC,00,00,14.7,19.573473,517.118511,14.180252,0,60.69554,31,0,1
2014,11,2ECFC837AC,00,00,14.7,18.999409,524.383691,14.223176,0,60.69554,30,0,1
2014,12,2ECFC837AC,00,00,14.7,18.75174,501.92156,14.037768,0,60.69554,31,0,1
2015,1,2ECFC837AC,00,00,0,18.033484,482.551167,13.965594,0,60.69554,31,0,1
2015,2,2ECFC837AC,00,00,0,18.478553,494.460593,14.310267,0,60.69554,28,0,1
2015,3,2ECFC837AC,00,00,14.7,19.082461,434.444033,14.28535,0,60.69554,31,0,1
2015,4,2ECFC837AC,00,00,0,20.552992,409.814189,13.98746,0,60.69554,30,0,1
2015,5,2ECFC837AC,00,00,14.7,21.332589,410.966064,14.091019,0,60.69554,31,0,1
2015,6,2ECFC837AC,00,00,0,19.4984,400.660681,14.125865,0,60.69554,30,0,1
2015,7,2ECFC837AC,00,00,0,17.325374,409.62133,13.896401,0,60.69554,31,0,1
2015,8,2ECFC837AC,00,00,0,17.161027,425.065449,14.823396,0,60.69554,31,0,1
2015,9,2ECFC837AC,00,00,0,17.389219,396.953894,13.466658,0,60.69554,28.99998,0,1
2015,10,2ECFC837AC,00,00,0,18.06189,414.800643,13.987592,0,60.69554,31,0,1
2015,11,2ECFC837AC,00,00,0,17.795959,415.443612,13.781649,0,60.69554,30,0,1
2015,12,2ECFC837AC,00,00,14.7,17.913775,419.429424,13.872887,0,60.69554,31,0,1
2016,1,2ECFC837AC,00,00,14.7,16.929725,435.108532,14.6236,0,60.69554,29.999971,0,1
2016,2,2ECFC837AC,00,00,14.7,17.091573,449.36113,14.125865,0,60.69554,29,0,1
2016,3,2ECFC837AC,00,00,14.7,16.744886,445.0099,13.670192,0,60.69554,29.999971,0,1
2016,4,2ECFC837AC,00,00,0,16.061022,439.420561,13.655003,0,60.69554,28.99998,0,1
2016,5,2ECFC837AC,00,00,0,15.925385,450.979122,14.125865,0,60.69554,31,0,1
2016,6,2ECFC837AC,00,00,14.7,16.449731,452.465633,14.125865,0,60.69554,30,0,1
2016,7,2ECFC837AC,00,00,14.7,15.745009,457.315201,13.670192,0,60.69554,29.999971,0,1
2016,8,2ECFC837AC,00,00,0,15.332317,445.673171,14.125865,0,60.69554,31,0,1
2016,9,2ECFC837AC,00,00,14.7,16.387043,447.090979,14.125865,0,60.69554,30,0,1
2016,10,2ECFC837AC,00,00,14.7,16.296077,456.318572,14.125865,0,60.69554,31,0,1
2016,11,2ECFC837AC,00,00,14.7,16.281375,449.620117,0,0,60.69554,30,0,1
2016,12,2ECFC837AC,00,00,14.7,16.547061,443.208595,0,0,60.69554,31,0,1
